name,slug,name_scraped,birth_year_scraped,party_scraped,current_scraped,bill_count_scraped
"Senator Bunning, Jim",jim-bunning/B001066,Jim Bunning,1931,Republican,not current,"2,786"
"Representative Burchett, Tim",tim-burchett/B001309,Tim Burchett,1964,Republican,current,198
"Senator Burdick, Joycelyn",joycelyn-burdick/B001076,Jocelyn Burdick,1922,Democratic,not current,10
"Senator Burdick, Quentin N.",quentin-burdick/B001077,Quentin N. Burdick,1908,Democratic,not current,"3,782"
"Representative Burgener, Clair W.",clair-burgener/B001080,Clair W. Burgener,1921,Republican,not current,"1,366"
"Representative Burgess, Michael C.",michael-burgess/B001248,Michael C. Burgess,1950,Republican,current,"2,435"
"Representative Burke, J. Herbert",j-burke/B001091,J. Herbert Burke,1913,Republican,not current,399
"Representative Burke, James A.",james-burke/B001092,James A. Burke,1910,Democratic,not current,601
"Representative Burke, Yvonne B.",yvonne-burke/B001102,Yvonne B. Burke,1932,Democratic,not current,914
"Representative Burleson, Omar",omar-burleson/B001111,Omar Burleson,1906,Democratic,not current,218
"Representative Burlison, Bill D.",bill-burlison/B001113,Bill D. Burlison,1931,Democratic,not current,140
"Senator Burns, Conrad R.",conrad-burns/B001126,Conrad R. Burns,1935,Republican,not current,"2,861"
"Representative Burns, Max",max-burns/B001249,Max Burns,1948,Republican,not current,206
"Senator Burr, Richard",richard-burr/B001135,Richard Burr,1955,Republican,current,"3,466"
"Senator Burris, Roland",roland-burris/B001266,Roland Burris,1937,Democratic,not current,416
"Representative Burton, Dan",dan-burton/B001149,Dan Burton,1938,Republican,not current,"6,590"
"Representative Burton, John",john-burton/B001153,John Burton,1932,Democratic,not current,883
"Representative Burton, Phillip",phillip-burton/B001156,Phillip Burton,1926,Democratic,not current,"1,379"
"Representative Burton, Sala",sala-burton/B001158,Sala Burton,1925,Democratic,not current,993
"Representative Bustamante, Albert G.",albert-bustamante/B001172,Albert G. Bustamante,1935,Democratic,not current,"2,661"
"Representative Bustos, Cheri",cheri-bustos/B001286,Cheri Bustos,1961,Democratic,current,"1,367"
"Representative Butler, M. Caldwell",m-butler/B001182,M. Caldwell Butler,1925,Republican,not current,744
"Representative Butterfield, G. K.",g-k-butterfield/B001251,G. K. Butterfield,1947,Democratic,current,"2,844"
"Representative Buyer, Steve",stephen-buyer/B001203,Steve Buyer,1958,Republican,not current,"1,237"
"Senator Byrd, Harry F.,  Jr.",harry-byrd/B001209,Harry F. Byrd Jr.,1914,History,not current,288
"Senator Byrd, Robert C.",robert-byrd/B001210,Robert C. Byrd,1917,Democratic,not current,"3,920"
"Representative Byrne, Bradley",bradley-byrne/B001289,Bradley Byrne,1955,Republican,current,977
"Representative Byrne, Leslie L.",leslie-byrne/B001213,Leslie L. Byrne,1946,Democratic,not current,473
"Representative Byron, Beverly B.",beverly-byron/B001220,Beverly B. Byron,1932,Democratic,not current,"1,561"
"Representative Byron, Goodloe E.",goodloe-byron/B001221,Goodloe E. Byron,1929,Democratic,not current,337
"Representative Callahan, Sonny",h-callahan/C000052,Sonny Callahan,1932,Republican,not current,"1,713"
"Representative Calvert, Ken",ken-calvert/C000059,Ken Calvert,1953,Republican,current,"4,748"
"Representative Camp, Dave",dave-camp/C000071,Dave Camp,1953,Republican,not current,"2,574"
"Representative Camp, John N. Happy",john-camp/C000073,John N. Happy Camp,1908,Republican,not current,112
"Senator Campbell, Ben Nighthorse",ben-campbell/C000077,Ben Nighthorse Campbell,1933,History,not current,"2,615"
"Representative Campbell, Carroll A., Jr.",carroll-campbell/C000079,Carroll A. Campbell Jr.,1940,Republican,not current,864
"Representative Campbell, John",john-campbell/C001064,John Campbell,1955,Republican,not current,981
"Representative Campbell, Tom",tom-campbell/C000100,Tom Campbell,1952,Republican,not current,"1,264"
"Representative Canady, Charles T.",charles-canady/C000107,Charles T. Canady,1954,Republican,not current,"1,123"
"Representative Cannon, Chris",chris-cannon/C000116,Chris Cannon,1950,Republican,not current,"1,170"
"Senator Cannon, Howard W.",howard-cannon/C000120,Howard W. Cannon,1912,Democratic,not current,"1,158"
"Representative Canseco, Francisco ""Quico""",francisco-canseco/C001082,"Francisco ""Quico"" Canseco",1949,Republican,not current,314
"Representative Cantor, Eric",eric-cantor/C001046,Eric Cantor,1963,Republican,not current,"1,235"
"Senator Cantwell, Maria",maria-cantwell/C000127,Maria Cantwell,1958,Democratic,current,"4,324"
"Representative Cao, Anh ""Joseph""",anh-cao/C001079,"Anh ""Joseph"" Cao",1967,Republican,not current,409
"Senator Capito, Shelley Moore",shelley-capito/C001047,Shelley Moore Capito,1953,Republican,current,"2,931"
"Representative Capps, Lois",lois-capps/C001036,Lois Capps,1938,Democratic,not current,"4,004"
"Representative Capps, Walter",walter-capps/C000134,Walter Capps,1934,Democratic,not current,153
"Representative Capuano, Michael E.",michael-capuano/C001037,Michael E. Capuano,1952,Democratic,not current,"4,127"
"Representative Caputo, Bruce F.",bruce-caputo/C000137,Bruce F. Caputo,1943,Republican,not current,146
"Representative Carbajal, Salud O.",salud-carbajal/C001112,Salud O. Carbajal,1964,Democratic,current,"1,102"
"Representative Cardenas, Tony",tony-cardenas/C001097,Tony Cardenas,1963,Democratic,current,"2,085"
"Senator Cardin, Benjamin L.",benjamin-cardin/C000141,Benjamin L. Cardin,1943,Democratic,current,"6,395"
"Representative Cardoza, Dennis A.",dennis-cardoza/C001050,Dennis A. Cardoza,1959,Democratic,not current,"1,472"
"Representative Carey, Hugh L.",hugh-carey/C000143,Hugh L. Carey,1919,Democratic,not current,156
"Representative Carman, Gregory W.",gregory-carman/C000158,Gregory W. Carman,1937,Republican,not current,151
"Senator Carnahan, Jean",jean-carnahan/C001043,Jean Carnahan,1933,Democratic,not current,311
"Representative Carnahan, Russ",russ-carnahan/C001060,Russ Carnahan,1958,Democratic,not current,"1,621"
"Representative Carney, Charles J.",charles-carney/C000164,Charles J. Carney,1913,Democratic,not current,969
"Representative Carney, Christopher P.",christopher-carney/C001065,Christopher P. Carney,1959,Democratic,not current,886
"Representative Carney, John C., Jr.",john-carney/C001083,"John C. Carney, Jr.",1956,Democratic,not current,572
"Representative Carney, William",william-carney/C000165,William Carney,1942,Republican,not current,822
"Senator Carper, Thomas R.",thomas-carper/C000174,Thomas R. Carper,1947,Democratic,current,"4,740"
"Representative Carr, Bob",bob-carr/C000178,Bob Carr,1943,Democratic,not current,"2,211"
"Representative Carson, Andre",andre-carson/C001072,Andre Carson,1974,Democratic,current,"3,599"
"Representative Carson, Brad",brad-carson/C001044,Brad Carson,1967,Democratic,not current,523
"Representative Carson, Julia",julia-carson/C000191,Julia Carson,1938,Democratic,not current,"3,059"
"Representative Carter, Earl L. ""Buddy""",earl-carter/C001103,"Earl L. ""Buddy"" Carter",1957,Republican,current,808
"Representative Carter, John R.",john-carter/C001051,John R. Carter,1941,Republican,current,"2,027"
"Representative Carter, Tim Lee",tim-carter/C000201,Tim Lee Carter,1910,Republican,not current,919
"Representative Cartwright, Matt",matt-cartwright/C001090,Matt Cartwright,1961,Democratic,current,"2,516"
"Senator Case, Clifford P.",clifford-case/C000220,Clifford P. Case,1904,Republican,not current,503
"Representative Case, Ed",ed-case/C001055,Ed Case,1952,Democratic,current,"1,663"
"Representative Casey, Bob",robert-casey/C000228,Bob Casey,1915,Democratic,not current,119
"Senator Casey, Robert P., Jr.",bob-casey/C001070,Robert P. Casey Jr.,1960,Democratic,current,"4,045"
"Senator Cassidy, Bill",bill-cassidy/C001075,Bill Cassidy,1957,Republican,current,"1,663"
"Representative Casten, Sean",sean-casten/C001117,Sean Casten,1971,Democratic,current,466
"Representative Castle, Michael N.",michael-castle/C000243,Michael N. Castle,1939,Republican,not current,"1,801"
"Representative Castor, Kathy",kathy-castor/C001066,Kathy Castor,1966,Democratic,current,"2,501"
"Representative Castro, Joaquin",joaquin-castro/C001091,Joaquin Castro,1974,Democratic,current,915
"Representative Cavanaugh, John J.",john-cavanaugh/C000261,John J. Cavanaugh,1945,Democratic,not current,379
"Representative Cazayoux, Donald J., Jr.",donald-cazayoux/C001073,Donald J. Cazayoux Jr.,1964,Democratic,not current,60
"Representative Cederberg, Elford A.",elford-cederberg/C000263,Elford A. Cederberg,1918,Republican,not current,332
"Representative Chabot, Steve",steve-chabot/C000266,Steve Chabot,1953,Republican,current,"3,211"
"Senator Chafee, John H.",john-chafee/C000269,John H. Chafee,1922,Republican,not current,"3,919"
"Senator Chafee, Lincoln",lincoln-chafee/C001040,Lincoln Chafee,1953,Republican,not current,948
"Representative Chaffetz, Jason",jason-chaffetz/C001076,Jason Chaffetz,1967,Republican,not current,"1,133"
"Representative Chamberlain, Charles E.",charles-chamberlain/C000275,Charles E. Chamberlain,1917,Republican,not current,51
"Senator Chambliss, Saxby",saxby-chambliss/C000286,Saxby Chambliss,1943,Republican,not current,"3,073"
"Representative Chandler, Ben",ben-chandler/C001058,Ben Chandler,1959,Democratic,not current,"1,209"
"Representative Chandler, Rod D.",rod-chandler/C000293,Rod D. Chandler,1942,Republican,not current,"1,722"
"Representative Chapman, Jim",jim-chapman/C000312,Jim Chapman,1945,Democratic,not current,"1,838"
"Representative Chappell, Bill, Jr.",william-chappell/C000321,Bill Chappell Jr.,1922,Democratic,not current,"1,696"
"Representative Chappie, Eugene A.",eugene-chappie/C000322,Eugene A. Chappie,1920,Republican,not current,890
"Representative Cheney, Dick",richard-cheney/C000344,Dick Cheney,1941,Republican,not current,793
"Representative Cheney, Liz",liz-cheney/C001109,Liz Cheney,1966,Republican,current,316
"Representative Chenoweth-Hage, Helen",helen-chenoweth-hage/C000345,Helen Chenoweth-Hage,1938,Republican,not current,678
"Senator Chiesa, Jeff",jeffrey-chiesa/C001100,Jeff Chiesa,1965,Republican,not current,16
"Representative Childers, Travis",travis-childers/C001074,Travis Childers,1958,Democratic,not current,266
"Senator Chiles, Lawton",lawton-chiles/C000356,Lawton Chiles,1930,Democratic,not current,"2,162"
"Representative Chisholm, Shirley",shirley-chisholm/C000371,Shirley Chisholm,1924,Democratic,not current,"1,847"
"Representative Chocola, Chris",chris-chocola/C001052,Chris Chocola,1962,Republican,not current,332
"Representative Christensen, Donna M.",donna-christensen/C000380,Donna M. Christensen,1945,Democratic,not current,"3,914"
"Representative Christensen, Jon",jon-christensen/C000377,Jon Christensen,1963,Republican,not current,436
"Representative Chrysler, Dick",dick-chrysler/C000385,Dick Chrysler,1942,Republican,not current,191
"Representative Chu, Judy",judy-chu/C001080,Judy Chu,1953,Democratic,current,"3,331"
"Senator Church, Frank",frank-church/C000388,Frank Church,1924,Democratic,not current,799
"Representative Cicilline, David N.",david-cicilline/C001084,David N. Cicilline,1961,Democratic,current,"3,178"
"Representative Cisneros, Gilbert Ray, Jr.",gilbert-cisneros/C001123,"Gilbert Ray Cisneros, Jr.",1971,Democratic,current,849
"Representative Clancy, Donald D.",donald-clancy/C000409,Donald D. Clancy,1921,Republican,not current,165
"Senator Clark, Dick",richard-clark/C000448,Dick Clark,1928,Democratic,not current,593
"Representative Clark, Frank M.",frank-clark/C000431,Frank M. Clark,1915,Democratic,not current,221
"Representative Clark, Katherine M.",katherine-clark/C001101,Katherine M. Clark,1963,Democratic,current,"1,556"
"Representative Clarke, Hansen",hansen-clarke/C001085,Hansen Clarke,1957,Democratic,not current,341
"Representative Clarke, James McC.",james-clarke/C000462,James McC. Clarke,1917,Democratic,not current,822
"Representative Clarke, Yvette D.",yvette-clarke/C001067,Yvette D. Clarke,1964,Democratic,current,"4,178"
"Representative Clausen, Don H.",don-clausen/C000475,Don H. Clausen,1923,Republican,not current,882
"Representative Clawson, Curt",curt-clawson/C001102,Curt Clawson,1959,Republican,not current,206
"Representative Clawson, Del",del-clawson/C000476,Del Clawson,1914,Republican,not current,207
"Representative Clay, William (Bill)",william-clay/C000488,William (Bill) Clay,1931,Democratic,not current,"3,652"
"Representative Clay, Wm. Lacy",wm-clay/C001049,Wm. Lacy Clay,1956,Democratic,current,"4,314"
"Representative Clayton, Eva M.",eva-clayton/C000494,Eva M. Clayton,1934,Democratic,not current,"1,572"
"Representative Cleaver, Emanuel",emanuel-cleaver/C001061,Emanuel Cleaver,1944,Democratic,current,"2,908"
"Senator Cleland, Max",max-cleland/C001034,Max Cleland,1942,Democratic,not current,"1,104"
"Representative Clement, Bob",bob-clement/C000503,Bob Clement,1943,Democratic,not current,"2,204"
"Representative Cleveland, James C.",james-cleveland/C000512,James C. Cleveland,1920,Republican,not current,"1,121"
"Representative Cline, Ben",ben-cline/C001118,Ben Cline,1972,Republican,current,198
"Representative Clinger, William F., Jr.",william-clinger/C000523,William F. Clinger Jr.,1929,Republican,not current,"2,818"
"Senator Clinton, Hillary Rodham",hillary-clinton/C001041,Hillary Rodham Clinton,1947,Democratic,not current,"3,389"
"Representative Cloud, Michael",michael-cloud/C001115,Michael Cloud,1975,Republican,current,175
"Representative Clyburn, James E.",james-clyburn/C000537,James E. Clyburn,1940,Democratic,current,"2,625"
"Senator Coats, Daniel",daniel-coats/C000542,Daniel Coats,1943,Republican,not current,"3,263"
"Representative Cobey, William W.",william-cobey/C000555,William W. Cobey,1939,Republican,not current,311
"Representative Coble, Howard",howard-coble/C000556,Howard Coble,1931,Republican,not current,"3,731"
"Senator Coburn, Tom",tom-coburn/C000560,Tom Coburn,1948,Republican,not current,"3,124"
"Senator Cochran, Thad",thad-cochran/C000567,Thad Cochran,1937,Republican,not current,"7,248"
"Representative Coelho, Anthony Lee",anthony-coelho/C000581,Anthony Lee Coelho,1942,Democratic,not current,"2,250"
"Representative Coffman, Mike",mike-coffman/C001077,Mike Coffman,1955,Republican,not current,"1,735"
"Representative Cohen, Steve",steve-cohen/C001068,Steve Cohen,1949,Democratic,current,"6,245"
"Senator Cohen, William S.",william-cohen/C000598,William S. Cohen,1940,Republican,not current,"3,510"
"Representative Cole, Tom",tom-cole/C001053,Tom Cole,1949,Republican,current,"2,815"
"Representative Coleman, E. Thomas",e-coleman/C000618,E. Thomas Coleman,1943,Republican,not current,"1,069"
"Senator Coleman, Norm",norm-coleman/C001057,Norm Coleman,1949,Republican,not current,"1,557"
"Representative Coleman, Ronald D.",ronald-coleman/C000621,Ronald D. Coleman,1941,Democratic,not current,"1,746"
"Representative Collier, Harold R.",harold-collier/C000629,Harold R. Collier,1915,Republican,not current,132
"Representative Collins, Barbara-Rose",barbara-rose-collins/C000633,Barbara-Rose Collins,1939,Democratic,not current,742
"Representative Collins, Cardiss",cardiss-collins/C000634,Cardiss Collins,1931,Democratic,not current,"5,384"
"Representative Collins, Chris",chris-collins/C001092,Chris Collins,1950,Republican,not current,"1,098"
"Representative Collins, Doug",doug-collins/C001093,Doug Collins,1966,Republican,current,773
"Representative Collins, James M.",james-collins/C000638,James M. Collins,1916,Republican,not current,"1,234"
"Representative Collins, Mac",mac-collins/C000640,Mac Collins,1944,Republican,not current,"1,026"
"Senator Collins, Susan M.",susan-collins/C001035,Susan M. Collins,1952,Republican,current,"6,241"
"Representative Colordao, Antonio",antonio-colorado/C000646,Commissioner Antonio Colorado,1939,Democratic,not current,63
"Representative Combest, Larry",larry-combest/C000653,Larry Combest,1945,Republican,not current,"1,291"
"Representative Comer, James",james-comer/C001108,James Comer,1972,Republican,current,311
"Representative Comstock, Barbara",barbara-comstock/C001105,Barbara Comstock,1959,Republican,not current,725
"Representative Conable, Barber B., Jr.",barber-conable/C000666,Barber B. Conable Jr.,1922,Republican,not current,955
"Representative Conaway, K. Michael",k-conaway/C001062,K. Michael Conaway,1948,Republican,current,"2,169"
"Representative Condit, Gary A.",gary-condit/C000670,Gary A. Condit,1948,Democratic,not current,"1,590"
"Representative Conlan, John B.",john-conlan/C000682,John B. Conlan,1930,Republican,not current,188
